Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18869177,Lying,Sam Harris,"Harris, Sam",,"=""""","=""""",0,3.86,Four Elephants Press,Kindle Edition,47,2013,2011,,2019/04/08,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
34964830,"Automating Inequality: How High-Tech Tools Profile, Police, and Punish the Poor",Virginia Eubanks,"Eubanks, Virginia",,"=""1250074312""","=""9781250074317""",0,4.02,St. Martin's Press,Hardcover,272,2018,2018,,2018/11/22,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,"=""0735216355""","=""9780735216358""",0,3.84,Portfolio Penguin,Hardcover,288,2018,2018,,2019/04/07,,,read,,,,1,,,0,,,,,
33916061,We Were Eight Years in Power: An American Tragedy,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0399590560""","=""9780399590566""",0,4.45,One World,Hardcover,367,2017,2017,2019/04/07,2019/03/09,,,read,,,,1,,,0,,,,,
483055,Theory of Games and Economic Behavior,John von Neumann,"Neumann, John von",Oskar Morgenstern,"=""0691130612""","=""9780691130613""",0,4.17,Princeton University Press,Paperback,739,2007,1944,,2019/04/06,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",0,4.49,Random House,Hardcover,352,2018,2018,2019/04/02,2018/12/27,,,read,,,,1,,,0,,,,,
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""""","=""""",0,4.30,Alfred A. Knopf,Hardcover,477,2013,2013,,2019/03/31,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
42771901,How To Do Nothing: Resisting the Attention Economy,Jenny Odell,"Odell, Jenny",,"=""1612197493""","=""9781612197494""",0,4.06,Melville House,Hardcover,240,2019,,,2019/03/26,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.45,Harvill Secker,Paperback,443,2014,2011,2019/03/24,2018/11/22,,,read,,,,2,,,0,,,,,
5999777,The Invisible Hook: The Hidden Economics of Pirates,Peter T. Leeson,"Leeson, Peter T.",,"=""0691137471""","=""9780691137476""",0,3.67,Princeton University Press,Hardcover,288,2009,2009,,2019/03/24,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0812993543""","=""9780812993547""",0,4.40,Spiegel & Grau,Hardcover,152,2015,2015,,2019/03/09,,,read,,,,1,,,0,,,,,
38212134,How the Internet Happened: From Netscape to the iPhone,Brian  McCullough,"McCullough, Brian",,"=""1631493078""","=""9781631493072""",0,4.37,Liveright,Hardcover,400,2018,2018,,2018/12/26,,,read,,,,1,,,0,,,,,
700668,"Discover Your Inner Economist: Use Incentives to Fall in Love, Survive Your Next Meeting, and Motivate Your Dentist",Tyler Cowen,"Cowen, Tyler",,"=""0525950257""","=""9780525950257""",0,3.40,Dutton,Hardcover,256,2007,2007,,2019/03/13,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",0,4.37,Penguin Books,Paperback,601,2002,1952,,2019/03/13,,,read,,,,1,,,0,,,,,
18114322,The Grapes of Wrath,John Steinbeck,"Steinbeck, John",,"=""067001690X""","=""9780670016907""",0,3.95,Viking,Hardcover,479,2014,1939,,2019/03/13,,,read,,,,1,,,0,,,,,
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",0,3.86,Penguin Books,Paperback,112,2002,1937,,2019/03/13,,,read,,,,1,,,0,,,,,
12612,Hegemony or Survival: America's Quest for Global Dominance,Noam Chomsky,"Chomsky, Noam",,"=""0805076883""","=""9780805076882""",0,3.96,Owl Books (NY),Paperback,301,2004,2003,,2019/03/13,,,read,,,,1,,,0,,,,,
12617,Manufacturing Consent: The Political Economy of the Mass Media,Noam Chomsky,"Chomsky, Noam",Edward S. Herman,"=""0375714499""","=""9780375714498""",0,4.24,Pantheon,Paperback,412,2002,1988,,2019/03/13,,,read,,,,1,,,0,,,,,
25719691,Most Likely to Succeed: Preparing Our Kids for the Innovation Era,Tony Wagner,"Wagner, Tony",Ted Dintersmith,"=""""","=""""",0,4.17,Scribner,Kindle Edition,305,2015,2015,,2019/03/13,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
36507099,Skin in the Game: Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""042528462X""","=""9780425284629""",0,3.85,Random House,Hardcover,304,2018,2018,,2019/03/13,,,read,,,,1,,,0,,,,,
35820413,Fascism: A Warning,Madeleine K. Albright,"Albright, Madeleine K.",,"=""0062802186""","=""9780062802187""",0,4.32,Harper,Hardcover,289,2018,2018,,2019/03/13,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
38212110,"Technically Wrong: Sexist Apps, Biased Algorithms, and Other Threats of Toxic Tech",Sara Wachter-Boettcher,"Wachter-Boettcher, Sara",,"=""0393356043""","=""9780393356045""",0,4.17,W. W. Norton  Company,Paperback,240,2018,2017,2019/03/13,2019/02/08,,,read,,,,1,,,0,,,,,
28964412,"The Daily Show: An Oral History as Told by Jon Stewart, the Correspondents, Staff and Guests",Chris Smith,"Smith, Chris","Jon Stewart, Oliver Wyman, Jay Snyder, Kevin T. Collins, Chris Lutkin, Robert Fass, Lauren Fortgang","=""1478936568""","=""9781478936565""",0,4.13,Grand Central Publishing,Audiobook,16,2016,2016,,2019/03/13,,,read,,,,1,,,0,,,,,
27220736,Shoe Dog: A Memoir by the Creator of NIKE,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",5,4.46,Scribner,Hardcover,386,2016,2016,,2018/11/22,,,read,,,,1,,,0,,,,,
37506348,Winners Take All: The Elite Charade of Changing the World,Anand Giridharadas,"Giridharadas, Anand",,"=""0451493249""","=""9780451493248""",0,4.25,Knopf Publishing Group,Hardcover,288,2018,2018,,2019/03/12,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus","Martin Hammond, Diskin Clay","=""0140449337""","=""9780140449334""",0,4.23,Penguin Books,Paperback,303,2006,180,,2019/03/09,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,3.98,Simon  Schuster,Hardcover,368,2018,2018,,2019/02/19,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
39088592,The Model Thinker: What You Need to Know to Make Data Work for You,Scott E. Page,"Page, Scott E.",,"=""0465094627""","=""9780465094622""",0,3.71,Basic Books,Hardcover,448,2018,,,2019/02/13,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",0,4.37,Sceptre,Hardcover,342,2018,2018,,2019/02/07,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
24724602,Flash Boys: A Wall Street Revolt,Michael   Lewis,"Lewis, Michael",,"=""0393351599""","=""9780393351590""",0,4.14,W. W. Norton  Company,Paperback,320,2015,2014,,2018/11/22,,,read,,,,1,,,0,,,,,
36288143,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,"Chang, Emily",,"=""""","=""""",4,4.03,Portfolio,Kindle Edition,317,2018,2018,2019/01/31,2019/01/26,,,read,,,,1,,,0,,,,,
12688360,Predictable Revenue: Turn Your Business Into a Sales Machine with the $100 Million Best Practices of Salesforce.com,Aaron Ross,"Ross, Aaron",Marylou Tyler,"=""0984380213""","=""9780984380213""",0,4.04,Pebblestorm,Paperback,214,2011,2011,,2019/01/18,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
106350,The Lady Tasting Tea: How Statistics Revolutionized Science in the Twentieth Century,David Salsburg,"Salsburg, David",,"=""0805071342""","=""9780805071344""",0,3.88,Holt Paperbacks,Paperback,352,2002,2001,,2019/01/13,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""0062300547""","=""9780062300546""",0,3.94,Harper,Hardcover,257,2016,2016,,2019/01/11,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",0,4.32,Orbit,Paperback,468,2015,2015,,2019/01/07,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"Caro, Robert A.",,"=""0394720245""","=""9780394720241""",0,4.50,Vintage,Paperback,1344,1975,1974,,2019/01/07,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
11797471,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,"Gertner, Jon",,"=""1594203288""","=""9781594203282""",0,4.15,Penguin Press,Hardcover,432,2012,2012,,2019/01/02,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
30646587,"The Simple Path to Wealth: Your road map to financial independence and a rich, free life",J.L. Collins,"Collins, J.L.",Mr. Money Mustache,"=""""","=""""",0,4.50,jlcollinsnh.com,Kindle Edition,288,2016,,,2018/12/28,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
944652,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.",Peter E. Kaufman,"=""157864366X""","=""9781578643660""",0,4.51,Donning Company Publishers,Hardcover,512,2006,2005,,2018/12/28,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
2054761,The Snowball: Warren Buffett and the Business of Life,Alice Schroeder,"Schroeder, Alice",,"=""0553805096""","=""9780553805093""",0,4.09,Bantam,Hardcover,929,2008,2008,,2018/12/28,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
22451908,The Revolt of the Public and the Crisis of Authority,Martin Gurri,"Gurri, Martin",,"=""""","=""""",0,4.32,,Kindle Edition,362,2014,2014,,2018/12/28,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
18423,The Left Hand of Darkness (Hainish Cycle #4),Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.06,Ace,Paperback,304,2000,1969,,2018/12/27,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
92625,The Ones Who Walk Away from Omelas,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0886825016""","=""9780886825010""",0,4.37,"Creative Education, Inc.",Hardcover,32,1997,1973,,2018/12/27,,,read,,,,1,,,0,,,,,
187181,The Chosen,Chaim Potok,"Potok, Chaim",,"=""0449213447""","=""9780449213445""",0,4.04,Fawcett Books,Paperback,304,1987,1967,,2018/12/27,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
30814638,Chaos Monkeys: Inside the Silicon Valley money machine,Antonio García Martínez,"Martínez, Antonio García",,"=""""","=""""",0,3.72,Ebury Digital,Kindle Edition,528,2016,2016,,2018/12/21,,,read,,,,1,,,0,,,,,
34536488,Principles: Life and Work,Ray Dalio,"Dalio, Ray",Jeremy Bobb,"=""1508243247""","=""9781508243243""",0,4.22,Simon  Schuster Audio,Audio CD,,2017,2011,2018/12/04,2018/11/22,,,read,,,,1,,,0,,,,,
31748608,"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science (Institute of Mathematical Statistics Monographs Book 5)",Bradley Efron,"Efron, Bradley",Trevor Hastie,"=""""","=""""",0,4.54,Cambridge University Press,Kindle Edition,496,2016,,,2018/12/04,,,read,,,,1,,,0,,,,,
30971755,A Crack in Creation: Gene Editing and the Unthinkable Power to Control Evolution,Jennifer A. Doudna,"Doudna, Jennifer A.",Samuel H. Sternberg,"=""0544716949""","=""9780544716940""",0,4.11,Houghton Mifflin Harcourt,Hardcover,304,2017,2017,,2018/12/04,,,read,,,,1,,,0,,,,,
12242180,The Lost Majority: Why the Future of Government Is Up for Grabs - and Who Will Take It,Sean Trende,"Trende, Sean",,"=""0230116469""","=""9780230116467""",0,3.87,St. Martin's Press,Hardcover,272,2012,2012,,2018/12/04,,,read,,,,1,,,0,,,,,
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.16,Henry Holt and Co.,Hardcover,368,2016,2016,,2018/12/04,,,read,,,,1,,,0,,,,,
26073086,Soccermatics: Mathematical Adventures in the Beautiful Game,David Sumpter,"Sumpter, David",,"=""1472924126""","=""9781472924124""",0,3.85,Bloomsbury Sigma,Hardcover,304,2016,2016,,2018/12/04,,,read,,,,1,,,0,,,,,
32600757,"Angel: How to Invest in Technology Startups—Timeless Advice from an Angel Investor Who Turned $100,000 into $100,000,000",Jason Calacanis,"Calacanis, Jason",,"=""0062560700""","=""9780062560704""",0,4.33,HarperBusiness,Hardcover,288,2017,,,2018/12/04,,,read,,,,1,,,0,,,,,
499353,The Creation of Patriarchy,Gerda Lerner,"Lerner, Gerda",,"=""0195051858""","=""9780195051858""",0,4.19,"Oxford University Press, USA",Paperback,318,1987,1986,,2018/12/04,,,read,,,,1,,,0,,,,,
6402364,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0060889578""","=""9780060889579""",0,3.98,William Morrow,Hardcover,270,2009,2009,,2018/12/04,,,read,,,,1,,,0,,,,,
